Ticker,Company,Sector,Region,Manual_Rating,Default_Event,ReportDate,Year,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,Cash,Revenue,EBITDA,EBIT,NetIncome,InterestExpense,OperatingCashFlow,MarketCap,SharePrice,Return_1Y,Volatility_1Y
M,Macy's,Retail,US,BB,0,2023-01-31,2023,16866000000.0,12784000000.0,4082000000.0,5959000000.0,862000000.0,25449000000.0,2496000000.0,1639000000.0,1146000000.0,162000000.0,1615000000.0,6886389514.160156,20.642654418945312,-0.06054519249165036,0.6261301940284646
M,Macy's,Retail,US,BB,0,2024-01-31,2024,16246000000.0,12211000000.0,4035000000.0,5984000000.0,1034000000.0,23866000000.0,1075000000.0,178000000.0,45000000.0,135000000.0,1305000000.0,4716459344.100952,17.2007999420166,-0.17766642110203534,0.5033277688329659
M,Macy's,Retail,US,BB,0,2025-01-31,2025,16402000000.0,11850000000.0,4552000000.0,5706000000.0,1306000000.0,23006000000.0,1759000000.0,878000000.0,582000000.0,115000000.0,1278000000.0,5377041165.161133,16.118228912353516,-0.05328202370549617,0.4529957303441824
KSS,Kohl's,Retail,US,BB-,0,2021-01-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.77238082885742,0.06557885483318326,0.9875577301704913
KSS,Kohl's,Retail,US,BB-,0,2022-01-31,2022,15054000000.0,10393000000.0,4661000000.0,6785000000.0,1587000000.0,19433000000.0,2317000000.0,1479000000.0,938000000.0,260000000.0,2271000000.0,17176134899.139404,45.56003952026367,0.42017295651330167,0.6046696270019797
KSS,Kohl's,Retail,US,BB-,0,2023-01-31,2023,14345000000.0,10582000000.0,3763000000.0,7566000000.0,153000000.0,18098000000.0,1054000000.0,246000000.0,-19000000.0,304000000.0,282000000.0,9504680397.033693,25.14465713500977,-0.443939137280415,0.632908894859258
KSS,Kohl's,Retail,US,BB-,0,2024-01-31,2024,14009000000.0,10116000000.0,3893000000.0,7376000000.0,183000000.0,17476000000.0,1466000000.0,717000000.0,317000000.0,344000000.0,1168000000.0,3760150195.7594604,23.396804809570312,-0.09681991942502954,0.5587033367942215
KSS,Kohl's,Retail,US,BB-,0,2025-01-31,2025,13559000000.0,9757000000.0,3802000000.0,7159000000.0,134000000.0,16221000000.0,1176000000.0,433000000.0,109000000.0,319000000.0,648000000.0,1689391931.2551882,13.374171257019045,-0.4157460378458038,0.5368956491758756
NKE,Nike,Consumer,US,AA-,0,2021-05-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5909423828125,0.38229003095762293,0.27915909422439056
NKE,Nike,Consumer,US,AA-,0,2022-05-31,2022,40321000000.0,25040000000.0,15281000000.0,12627000000.0,8574000000.0,46710000000.0,7515000000.0,6675000000.0,6046000000.0,0.0,5188000000.0,171355058296.2036,109.0738754272461,-0.1327350219905018,0.3348221241646275
NKE,Nike,Consumer,US,AA-,0,2023-05-31,2023,37531000000.0,23527000000.0,14004000000.0,12144000000.0,7441000000.0,51217000000.0,6774000000.0,5915000000.0,5070000000.0,0.0,5841000000.0,155195111145.01956,101.3022918701172,-0.09360015023502877,0.37658145153480177
NKE,Nike,Consumer,US,AA-,0,2024-05-31,2024,38110000000.0,23680000000.0,14430000000.0,11952000000.0,9860000000.0,51362000000.0,7155000000.0,6311000000.0,5700000000.0,0.0,7429000000.0,135399278732.29982,90.08601379394533,-0.08592096194579013,0.26975600017421764
NKE,Nike,Consumer,US,AA-,0,2025-05-31,2025,36579000000.0,23366000000.0,13213000000.0,11018000000.0,7464000000.0,46309000000.0,4510000000.0,3702000000.0,3219000000.0,0.0,3698000000.0,107654466247.5586,72.93663024902344,-0.2039956629193762,0.36994151146264903
KO,Coca-Cola,Consumer,US,A+,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.837345123291016,0.023876639088110663,0.34747313076203
KO,Coca-Cola,Consumer,US,A+,0,2021-12-31,2021,94354000000.0,69494000000.0,22999000000.0,42761000000.0,9684000000.0,38655000000.0,15474000000.0,14022000000.0,9771000000.0,1597000000.0,12625000000.0,367252360159.97394,52.16557312011719,0.10563654322976013,0.15239863491856326
KO,Coca-Cola,Consumer,US,A+,0,2022-12-31,2022,92763000000.0,66937000000.0,24105000000.0,39149000000.0,9519000000.0,43004000000.0,13828000000.0,12568000000.0,9542000000.0,882000000.0,11018000000.0,409180395507.8125,58.122215270996094,0.10609563896150465,0.19682393262419937
KO,Coca-Cola,Consumer,US,A+,0,2023-12-31,2023,97703000000.0,70223000000.0,25941000000.0,42064000000.0,9366000000.0,45754000000.0,15607000000.0,14479000000.0,10714000000.0,1527000000.0,11599000000.0,391035148925.78125,55.54476547241211,-0.034325814670643995,0.13452709967146764
KO,Coca-Cola,Consumer,US,A+,0,2024-12-31,2024,100549000000.0,74177000000.0,24856000000.0,44522000000.0,10828000000.0,47061000000.0,15817000000.0,14742000000.0,10631000000.0,1656000000.0,6805000000.0,424176596679.68756,60.25235748291016,0.06861410681030322,0.12754371370891954
PEP,PepsiCo,Consumer,US,A+,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.25838470458984,0.1162043193603921,0.36658188357450416
PEP,PepsiCo,Consumer,US,A+,0,2021-12-31,2021,92377000000.0,76226000000.0,16043000000.0,40780000000.0,5596000000.0,79474000000.0,14899000000.0,11684000000.0,7618000000.0,1863000000.0,11616000000.0,284378006607.05566,152.3181610107422,0.19834673836826755,0.14795639490434181
PEP,PepsiCo,Consumer,US,A+,0,2022-12-31,2022,92187000000.0,74914000000.0,17149000000.0,39554000000.0,4954000000.0,86392000000.0,14924000000.0,11644000000.0,8910000000.0,939000000.0,10811000000.0,305497646438.59863,163.63023376464844,0.06783456938678079,0.1946404473294911
PEP,PepsiCo,Consumer,US,A+,0,2023-12-31,2023,100495000000.0,81858000000.0,18503000000.0,44661000000.0,9711000000.0,91471000000.0,15754000000.0,12236000000.0,9074000000.0,819000000.0,13442000000.0,295445684936.52344,158.2462158203125,-0.026165611559782254,0.15031347176672571
PEP,PepsiCo,Consumer,US,A+,0,2024-12-31,2024,99467000000.0,81296000000.0,18041000000.0,44948000000.0,8505000000.0,91854000000.0,16680000000.0,12865000000.0,9578000000.0,919000000.0,12507000000.0,272375113181.70547,145.89004516601562,-0.09445064336667497,0.16311281416243148
PG,P&G,Consumer,US,AA-,0,2021-06-30,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.07434844970705,0.15158271433069337,0.15119468822526955
PG,P&G,Consumer,US,AA-,0,2022-06-30,2022,117208000000.0,70354000000.0,46589000000.0,32293000000.0,7214000000.0,80187000000.0,21241000000.0,18434000000.0,14742000000.0,439000000.0,16723000000.0,521414947247.31445,130.0546112060547,0.07886288547876097,0.19128906697484596
PG,P&G,Consumer,US,AA-,0,2023-06-30,2023,120829000000.0,73764000000.0,46777000000.0,35424000000.0,8246000000.0,82006000000.0,21823000000.0,19109000000.0,14653000000.0,756000000.0,16848000000.0,562192725018.3105,140.2256622314453,0.06628333125642083,0.1775317895938882
